Fiscal Year,Account Type,Department,Division,ORG_NAME,Org Description,Fund Code,Fund Description,Account Category,Account Code,Account Description,Amount
FY18,Expense,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Supplies,7520,Supplies,8027
FY18,Expense,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Capital Outlays,9760,Equipment,3375
FY18,Expense,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Personal Services,7020,Full Time Employees,329428
FY18,Expense,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Personal Services,7025,Acting Assignment,10150
FY18,Expense,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Personal Services,7055,Time & One-half,32000
FY18,Expense,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Personal Services,7105,Employers FICA,5428
FY18,Expense,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Personal Services,7110,Hospitalization Insurance,49336
FY18,Expense,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Personal Services,7115,Retiree Health Care-OPEB,74005
FY18,Expense,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Personal Services,7120,Retirement Fund Contribution,90912
FY18,Expense,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Personal Services,7135,Unemployment Compensation,521
FY18,Expense,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Personal Services,7180,Fire Tech Services Stipend,2750
FY18,Expense,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Other Services and Charges,9110,Other Travel & Training,13780
FY18,Expense,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Other Services and Charges,9150,Memberships,968
FY18,Expense,Fire,Fire,Fire Training,3000 - Fire Training,1010,General Fund Operating,Other Services and Charges,9440,Fleet Management Equipment Charges,10900
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Supplies,7520,Supplies,50000
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Supplies,7910,Subscriptions and Publications,2679
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Capital Outlays,9755,Building Additions,72825
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Capital Outlays,9760,Equipment,101407
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Other Financing,9955,Operating Trans-Misc,80000
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Personal Services,7020,Full Time Employees,1073524
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Personal Services,7025,Acting Assignment,5075
FY18,Expense,Fire,Fire,Administration,1000 - Administration,1010,General Fund Operating,Personal Services,7055,Time & One-half,90590
